iter	Passed	Remaining
0	139	138938
1	141	70406
2	142	47342
3	143	35792
4	146	29158
5	148	24615
6	150	21341
7	151	18834
8	152	16843
9	154	15306
10	155	14024
11	157	12954
12	159	12074
13	160	11332
14	162	10663
15	164	10086
16	164	9539
17	166	9059
18	167	8634
19	168	8241
20	169	7890
21	170	7566
22	171	7292
23	174	7089
24	175	6856
25	177	6641
26	178	6442
27	179	6244
28	181	6064
29	182	5890
30	183	5722
31	184	5566
32	185	5448
33	188	5345
34	189	5227
35	190	5114
36	192	5003
37	193	4893
38	194	4785
39	195	4692
40	196	4594
41	197	4500
42	199	4434
43	200	4364
44	202	4296
45	204	4238
46	205	4162
47	206	4091
48	207	4024
49	208	3958
50	209	3892
51	210	3830
52	211	3775
53	213	3738
54	215	3695
55	216	3651
56	218	3615
57	219	3570
58	221	3525
59	222	3484
60	223	3437
61	224	3393
62	225	3360
63	228	3344
64	229	3308
65	231	3275
66	232	3240
67	233	3203
68	234	3169
69	235	3134
70	236	3100
71	237	3066
72	239	3035
73	241	3021
74	242	2995
75	244	2971
76	245	2948
77	246	2916
78	247	2888
79	248	2859
80	249	2833
81	250	2807
82	251	2776
83	252	2751
84	254	2744
85	256	2726
86	258	2708
87	259	2686
88	260	2664
89	261	2642
90	262	2618
91	263	2596
92	263	2574
93	264	2552
94	266	2538
95	268	2526
96	269	2512
97	271	2499
98	272	2479
99	273	2464
100	274	2447
101	275	2429
102	276	2411
103	277	2394
104	279	2385
105	282	2378
106	283	2368
107	285	2354
108	286	2339
109	287	2323
110	288	2308
111	289	2294
112	290	2280
113	291	2266
114	292	2254
115	295	2255
116	296	2241
117	298	2230
118	299	2218
119	300	2203
120	301	2192
121	302	2179
122	303	2165
123	304	2151
124	305	2138
125	306	2125
126	309	2129
127	311	2119
128	312	2109
129	313	2097
130	314	2086
131	315	2075
132	316	2063
133	317	2052
134	318	2041
135	319	2029
136	320	2017
137	322	2012
138	323	2006
139	325	1999
140	327	1993
141	327	1981
142	328	1971
143	330	1963
144	331	1954
145	332	1943
146	333	1933
147	334	1923
148	337	1924
149	338	1920
150	340	1912
151	341	1904
152	342	1894
153	343	1885
154	344	1876
155	345	1867
156	345	1857
157	346	1847
158	347	1839
159	349	1835
160	351	1831
161	353	1826
162	354	1821
163	355	1814
164	357	1807
165	358	1800
166	359	1792
167	360	1784
168	361	1777
169	363	1774
170	364	1768
171	366	1764
172	367	1757
173	368	1749
174	369	1742
175	370	1735
176	371	1727
177	372	1718
178	373	1713
179	375	1712
180	377	1707
181	379	1704
182	380	1697
183	381	1690
184	382	1684
185	383	1677
186	384	1670
187	385	1663
188	385	1656
189	387	1650
190	389	1648
191	390	1645
192	392	1641
193	393	1636
194	394	1630
195	395	1624
196	396	1617
197	397	1611
198	398	1605
199	399	1598
200	400	1593
201	402	1591
202	404	1588
203	405	1582
204	407	1578
205	408	1572
206	409	1567
207	410	1563
208	411	1558
209	412	1551
210	413	1545
211	414	1539
212	417	1541
213	418	1538
214	420	1533
215	421	1530
216	422	1526
217	423	1520
218	425	1515
219	425	1509
220	426	1503
221	427	1497
222	428	1491
223	429	1489
224	431	1486
225	433	1483
226	435	1481
227	436	1478
228	437	1474
229	438	1469
230	439	1464
231	440	1458
232	441	1453
233	442	1449
234	443	1445
235	445	1442
236	447	1439
237	448	1436
238	450	1433
239	451	1428
240	452	1424
241	453	1420
242	454	1415
243	455	1411
244	456	1407
245	458	1405
246	460	1402
247	461	1400
248	463	1398
249	465	1395
250	466	1391
251	467	1386
252	468	1383
253	469	1379
254	470	1375
255	472	1373
256	474	1371
257	475	1368
258	477	1365
259	478	1361
260	479	1357
261	480	1353
262	481	1349
263	482	1344
264	483	1340
265	485	1338
266	486	1336
267	488	1335
268	490	1333
269	493	1333
270	494	1330
271	495	1326
272	496	1322
273	497	1317
274	498	1314
275	500	1312
276	502	1311
277	503	1307
278	504	1303
279	505	1299
280	506	1295
281	507	1292
282	508	1288
283	509	1284
284	510	1280
285	511	1276
286	512	1274
287	515	1274
288	517	1272
289	518	1268
290	519	1265
291	520	1261
292	521	1258
293	522	1254
294	523	1251
295	525	1248
296	526	1246
297	530	1249
298	531	1246
299	532	1243
300	533	1239
301	534	1235
302	535	1232
303	536	1229
304	538	1226
305	539	1223
306	540	1220
307	542	1217
308	544	1217
309	546	1215
310	547	1213
311	549	1210
312	550	1207
313	551	1203
314	551	1200
315	552	1196
316	553	1192
317	554	1190
318	556	1187
319	558	1185
320	559	1183
321	561	1181
322	562	1178
323	563	1175
324	564	1172
325	565	1169
326	566	1166
327	567	1162
328	569	1161
329	572	1161
330	574	1160
331	575	1157
332	576	1154
333	577	1151
334	578	1148
335	579	1145
336	580	1141
337	581	1138
338	582	1135
339	584	1134
340	586	1132
341	587	1130
342	589	1128
343	590	1125
344	591	1122
345	592	1120
346	593	1116
347	594	1113
348	595	1109
349	595	1106
350	598	1106
351	600	1104
352	601	1102
353	603	1100
354	604	1098
355	605	1095
356	606	1092
357	607	1089
358	608	1086
359	609	1083
360	610	1080
361	612	1079
362	614	1077
363	615	1076
364	617	1073
365	618	1070
366	619	1068
367	620	1065
368	621	1062
369	622	1059
370	623	1056
371	625	1056
372	627	1054
373	628	1052
374	630	1050
375	631	1048
376	632	1045
377	633	1043
378	635	1040
379	636	1037
380	637	1034
381	637	1032
382	640	1031
383	642	1030
384	643	1028
385	645	1026
386	646	1023
387	647	1021
388	648	1018
389	649	1015
390	650	1012
391	651	1010
392	652	1008
393	655	1008
394	656	1006
395	658	1004
396	659	1001
397	660	999
398	661	996
399	662	993
400	663	990
401	664	987
402	664	985
403	666	982
404	668	982
405	669	980
406	671	978
407	672	976
408	673	973
409	674	970
410	675	968
411	676	965
412	677	963
413	678	960
414	679	957
415	680	955
416	683	954
417	684	953
418	686	952
419	687	949
420	688	946
421	689	944
422	690	942
423	691	939
424	692	936
425	693	934
426	694	931
427	695	930
428	697	928
429	699	926
430	700	925
431	701	922
432	702	920
433	704	918
434	705	915
435	705	913
436	706	910
437	707	907
438	709	907
439	713	907
440	715	906
441	716	904
442	717	902
443	718	899
444	719	897
445	720	895
446	721	892
447	723	891
448	725	890
449	726	888
450	728	886
451	729	883
452	730	881
453	730	878
454	731	876
455	732	873
456	733	871
457	734	869
458	735	866
459	735	863
460	737	861
461	739	861
462	741	859
463	742	857
464	743	855
465	744	852
466	745	850
467	745	847
468	746	845
469	747	842
470	748	840
471	749	838
472	750	835
473	751	834
474	753	833
475	755	831
476	756	829
477	757	827
478	758	825
479	759	823
480	760	820
481	761	818
482	762	816
483	763	814
484	764	811
485	766	810
486	768	809
487	769	807
488	770	805
489	771	803
490	772	801
491	774	799
492	775	797
493	776	794
494	776	792
495	777	790
496	778	787
497	780	786
498	781	785
499	783	783
500	784	781
501	785	779
502	786	776
503	786	774
504	787	772
505	788	770
506	789	767
507	790	765
508	791	763
509	791	760
510	793	759
511	796	758
512	797	756
513	798	755
514	799	752
515	800	751
516	801	748
517	802	746
518	803	744
519	804	742
520	805	740
521	806	738
522	808	737
523	810	735
524	811	734
525	812	732
526	814	730
527	815	728
528	816	726
529	817	724
530	818	722
531	819	721
532	821	719
533	823	718
534	825	717
535	826	715
536	827	713
537	828	711
538	829	709
539	830	707
540	832	706
541	833	704
542	836	703
543	837	701
544	838	700
545	839	698
546	841	696
547	842	694
548	843	693
549	845	691
550	845	689
551	847	687
552	849	686
553	850	685
554	853	684
555	855	682
556	856	680
557	857	678
558	858	677
559	859	675
560	860	673
561	862	672
562	864	671
563	866	669
564	867	667
565	868	665
566	869	663
567	870	662
568	871	660
569	872	658
570	873	656
571	874	654
572	875	652
573	876	650
574	879	649
575	880	648
576	881	646
